manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,age_categories,year,day,month
shot,gun,45.0,M,W,Rexburg,ID,False,attack,Not fleeing,False,Adult,2015,24,1
shot,knife,26.0,M,B,Baltimore,MD,True,other,Not fleeing,False,Youth,2015,24,1
shot,gun,26.0,M,H,Pueblo,CO,False,attack,Car,False,Youth,2015,25,1
shot,gun,59.0,M,W,Winslow,NJ,False,attack,Not fleeing,False,Senior Citizen,2015,25,1
shot,undetermined,17.0,F,H,Denver,CO,False,other,Not fleeing,False,Teenage,2015,26,1
shot,gun,68.0,M,W,New Hope,MN,True,attack,Not fleeing,False,Senior Citizen,2015,26,1
shot,unarmed,24.0,M,H,Tahoka,TX,False,other,Car,False,Youth,2015,26,1
shot,knife,34.0,M,H,Wasco,CA,True,other,Not fleeing,False,Youth,2015,26,1
shot,undetermined,26.0,M,N,Phoenix,AZ,False,other,Not fleeing,False,Youth,2015,27,1
shot,gun,29.0,M,W,Morenci,AZ,False,attack,Not fleeing,False,Youth,2015,27,1
shot,gun,33.0,M,B,Columbus,OH,False,attack,Not fleeing,False,Youth,2015,27,1
shot,knife,39.0,F,W,Omaha,NE,True,attack,Not fleeing,False,Adult,2015,27,1
shot,gun,45.0,M,W,Sunset,TX,False,attack,Not fleeing,False,Adult,2015,28,1
shot and Tasered,hammer,35.0,M,A,Stockton,CA,True,attack,Not fleeing,False,Adult,2015,28,1
shot,gun,26.0,M,W,Rosenberg,TX,False,attack,Not fleeing,False,Youth,2015,28,1
shot,unarmed,42.0,M,W,Stillwater,OK,False,other,Foot,False,Adult,2015,29,1
shot,gun,31.0,M,W,Wyoming,MI,True,attack,Not fleeing,False,Youth,2015,29,1
shot,gun,48.0,M,W,Billings,MT,False,attack,Foot,False,Adult,2015,30,1
shot,gun,31.0,M,H,Houston,TX,False,attack,Not fleeing,False,Youth,2015,31,1
shot and Tasered,knife,54.0,M,B,Randallstown,MD,True,other,Not fleeing,False,Senior Citizen,2015,31,1
shot,gun,17.0,M,W,Bay City,MI,False,attack,Not fleeing,False,Teenage,2015,2,2
shot,unarmed,59.0,M,W,Hummelstown,PA,False,other,Foot,False,Senior Citizen,2015,2,2
shot,gun,42.0,M,W,Apple Valley,CA,True,attack,Not fleeing,False,Adult,2015,2,2
shot,gun,23.0,M,B,St. Louis,MO,False,attack,Foot,False,Youth,2015,3,2
shot,gun,38.0,F,B,Emeryville,CA,False,attack,Car,False,Adult,2015,3,2
shot,knife,29.0,M,B,Antioch,CA,True,other,Not fleeing,False,Youth,2015,3,2
shot,gun,45.0,M,W,Douglas,GA,True,attack,Not fleeing,False,Adult,2015,3,2
shot,unarmed,28.0,M,B,Tallahassee,FL,False,attack,Not fleeing,False,Youth,2015,4,2
shot,gun,37.0,M,H,Orlando,FL,False,attack,Not fleeing,False,Adult,2015,4,2
shot,gun,28.0,M,H,Tempe,AZ,False,attack,Car,False,Youth,2015,4,2
shot,unarmed,28.0,M,H,Tempe,AZ,False,other,Not fleeing,False,Youth,2015,4,2
shot,gun,51.0,M,B,Lorena,TX,False,attack,Car,False,Senior Citizen,2015,4,2
shot,knife,36.0,M,B,Memphis,TN,False,other,Not fleeing,False,Adult,2015,4,2
shot,gun,59.0,M,W,Chino,CA,False,other,Car,False,Senior Citizen,2015,5,2
shot,gun,25.0,M,B,Oklahoma City,OK,False,attack,Not fleeing,False,Youth,2015,6,2
shot,toy weapon,26.0,M,W,Calimesa,CA,False,attack,Not fleeing,False,Youth,2015,7,2
shot,gun,72.0,M,B,Gastonia,NC,False,attack,Not fleeing,False,Senior Citizen,2015,7,2
shot,gun,33.0,M,W,Anchorage,AK,False,attack,Car,False,Youth,2015,8,2
shot,gun,27.0,M,W,Austin,TX,False,attack,Not fleeing,False,Youth,2015,8,2
shot,gun,57.0,M,W,New City,NY,True,attack,Not fleeing,False,Senior Citizen,2015,8,2
shot,gun,46.0,M,W,Orange County,FL,False,attack,Not fleeing,False,Adult,2015,8,2
shot,gun,41.0,M,W,Nocona,TX,False,attack,Not fleeing,False,Adult,2015,8,2
shot,gun,61.0,M,W,Smyrna,ME,True,undetermined,Not fleeing,False,Senior Citizen,2015,9,2
shot,gun,45.0,M,B,Dallas,TX,False,attack,Not fleeing,False,Adult,2015,9,2
shot and Tasered,unarmed,35.0,M,H,Pasco,WA,True,other,Foot,False,Adult,2015,10,2
shot,gun,49.0,M,B,Whitehaven,TN,False,attack,Not fleeing,False,Adult,2015,10,2
shot,gun,45.0,M,W,New Castle,CO,True,attack,Car,False,Adult,2015,10,2
shot,knife,23.0,M,B,San Jose,CA,True,other,Not fleeing,False,Youth,2015,11,2
shot,toy weapon,46.0,M,W,Dadeville,AL,True,attack,Foot,True,Adult,2015,11,2
shot,undetermined,23.0,M,W,San Bernardino,CA,False,attack,Car,False,Youth,2015,13,2
shot,gun,21.0,M,H,Kansas City,KS,False,attack,Car,False,Teenage,2015,13,2
shot,unarmed,35.0,M,H,Reading,PA,False,other,Not fleeing,False,Adult,2015,13,2
shot,gun,27.0,M,W,McLemoresville,TN,False,attack,Not fleeing,False,Youth,2015,13,2
shot,knife,37.0,M,H,San Manuel,AZ,True,other,Not fleeing,False,Adult,2015,13,2
shot,gun,16.0,M,W,Essex,MD,True,attack,Car,False,Teenage,2015,14,2
shot,gun,51.0,M,W,Laredo,TX,False,attack,Not fleeing,False,Senior Citizen,2015,14,2
shot and Tasered,unarmed,25.0,M,B,Miami Gardens,FL,True,other,Not fleeing,False,Youth,2015,15,2
shot,gun,34.0,M,W,Iuka,MS,False,attack,Foot,False,Youth,2015,15,2
shot,hatchet,34.0,M,W,Colton,OR,True,other,Not fleeing,False,Youth,2015,15,2
shot,gun,56.0,M,W,Marana,AZ,False,attack,Not fleeing,False,Senior Citizen,2015,16,2
shot,gun,26.0,M,W,Boise,ID,False,attack,Not fleeing,False,Youth,2015,16,2
shot,toy weapon,24.0,M,W,Provo,UT,True,attack,Not fleeing,False,Youth,2015,16,2
shot,gun,43.0,F,W,Gaston County,NC,False,attack,Not fleeing,False,Adult,2015,17,2
shot,unarmed,31.0,M,W,Springfield,MO,False,other,Foot,False,Youth,2015,17,2
shot,gun,32.0,M,W,Eaton Rapids Township,MI,False,attack,Not fleeing,False,Youth,2015,17,2
shot,toy weapon,30.0,M,W,Tewksbury,MA,False,attack,Foot,False,Youth,2015,17,2
shot,undetermined,50.0,M,H,Del Rio,TX,False,other,Not fleeing,False,Adult,2015,17,2
shot,undetermined,20.0,F,B,Charlotte,NC,True,other,Not fleeing,False,Teenage,2015,18,2
shot,gun,35.0,M,H,Houston,TX,False,attack,Car,False,Adult,2015,20,2
shot,unarmed,31.0,M,H,Euless,TX,False,other,Not fleeing,False,Youth,2015,20,2
shot,gun,38.0,M,B,Homewood,AL,False,attack,Not fleeing,False,Adult,2015,20,2
shot,gun,72.0,M,B,Birmingham,AL,True,attack,Not fleeing,False,Senior Citizen,2015,20,2
shot,gun,41.0,M,W,Ruidoso,NM,False,attack,Not fleeing,False,Adult,2015,21,2
shot,knife,51.0,M,W,Indianapolis,IN,False,attack,Not fleeing,False,Senior Citizen,2015,21,2
shot,gun,50.0,M,W,Palm Bay,FL,False,attack,Not fleeing,False,Adult,2015,22,2
shot and Tasered,knife,42.0,M,W,Allentown,PA,False,attack,Car,False,Adult,2015,23,2
shot and Tasered,unarmed,39.0,M,W,Omaha,NE,False,other,Not fleeing,False,Adult,2015,23,2
shot,gun,47.0,M,W,Denham Springs,LA,True,attack,Not fleeing,False,Adult,2015,23,2
shot,knife,37.0,M,W,Powder Springs,GA,False,other,Not fleeing,False,Adult,2015,23,2
shot,gun,41.0,M,W,Clarkesville,GA,False,attack,Foot,False,Adult,2015,23,2
shot,gun,16.0,M,B,Millbrook,AL,False,attack,Not fleeing,False,Teenage,2015,23,2
shot and Tasered,knife,30.0,M,W,Green Bay,WI,True,attack,Not fleeing,False,Youth,2015,24,2
shot,undetermined,27.0,M,B,Oklahoma City,OK,False,other,Car,False,Youth,2015,25,2
shot,gun,43.0,M,W,Las Vegas,NV,True,attack,Not fleeing,False,Adult,2015,25,2
shot and Tasered,unarmed,31.0,M,W,Terre Haute,IN,False,other,Not fleeing,False,Youth,2015,26,2
shot,gun,42.0,M,H,Lakeland,FL,False,attack,Foot,False,Adult,2015,26,2
shot,knife,21.0,M,H,San Francisco,CA,False,other,Not fleeing,False,Teenage,2015,26,2
shot,unarmed,49.0,M,W,Gulfport,MS,False,other,Not fleeing,False,Adult,2015,26,2
shot,gun,34.0,F,W,Sylvester,GA,False,attack,Car,False,Youth,2015,26,2
shot,unarmed,27.0,M,H,Santa Ana,CA,False,undetermined,Not fleeing,False,Youth,2015,27,2
shot,gun,24.0,M,W,Pelzer,SC,False,attack,Not fleeing,False,Youth,2015,28,2
shot and Tasered,unarmed,17.0,M,W,Roxand Township,MI,False,attack,Not fleeing,True,Teenage,2015,28,2
shot,unarmed,34.0,M,B,St Louis,MO,False,other,Car,False,Youth,2015,28,2
shot,knife,28.0,F,H,Tucson,AZ,False,other,Not fleeing,False,Youth,2015,28,2
shot,gun,28.0,M,B,Columbia,MO,False,attack,Car,False,Youth,2015,28,2
shot,gun,40.0,M,B,Tarboro,NC,True,attack,Car,False,Adult,2015,28,2
shot,gun,37.0,F,W,La Paz County,AZ,False,attack,Car,False,Adult,2015,28,2
shot,gun,49.0,M,W,Barton,MS,False,attack,Not fleeing,False,Adult,2015,1,3
shot and Tasered,unarmed,43.0,M,B,Los Angeles,CA,True,attack,Not fleeing,True,Adult,2015,1,3
shot,gun,35.0,M,A,Houston,TX,False,attack,Not fleeing,False,Adult,2015,1,3
shot,gun,20.0,M,B,Joilet,IL,False,other,Foot,False,Teenage,2015,2,3
shot,gun,25.0,M,B,Salisbury,MD,False,attack,Not fleeing,False,Youth,2015,3,3
shot,knife,25.0,M,W,Tempe,AZ,False,attack,Not fleeing,False,Youth,2015,3,3
shot,unarmed,26.0,M,W,Deltona,FL,False,other,Not fleeing,False,Youth,2015,4,3
shot,gun,28.0,M,A,Stockton,CA,False,attack,Not fleeing,False,Youth,2015,4,3
shot,knife,45.0,M,B,Milwaukee,WI,True,other,Not fleeing,False,Adult,2015,5,3
shot,unarmed,36.0,M,H,Burbank,CA,False,other,Car,False,Adult,2015,5,3
shot,gun,34.0,M,W,Lincoln,NE,False,attack,Not fleeing,False,Youth,2015,5,3
shot,unarmed,37.0,M,B,Aurora,CO,False,undetermined,Foot,False,Adult,2015,6,3
shot,undetermined,48.0,M,B,Putnam Hall,FL,False,other,Not fleeing,False,Adult,2015,6,3
shot,unarmed,19.0,M,B,Madison,WI,False,attack,Foot,False,Teenage,2015,6,3
shot,gun,29.0,M,W,Phoenix,AZ,False,attack,Not fleeing,False,Youth,2015,7,3
shot,gun,40.0,M,H,Oklahoma City,OK,False,attack,Not fleeing,False,Adult,2015,8,3
shot,undetermined,35.0,M,W,Claymont,DE,False,attack,Car,False,Adult,2015,8,3
shot,knife,43.0,F,B,Anaheim,CA,True,other,Not fleeing,True,Adult,2015,8,3
shot,gun,58.0,M,W,Brevard,NC,False,attack,Not fleeing,False,Senior Citizen,2015,9,3
shot,gun,46.0,M,W,Dinosaur,CO,False,attack,Not fleeing,False,Adult,2015,9,3
shot,gun,30.0,M,B,Cocoa,FL,False,attack,Not fleeing,False,Youth,2015,9,3
shot,unarmed,27.0,M,B,Atlanta,GA,True,other,Not fleeing,False,Youth,2015,9,3
shot,gun,31.0,M,B,Baton Rouge,LA,False,attack,Not fleeing,False,Youth,2015,10,3
shot,knife,23.0,M,W,Port Wentworth,GA,False,attack,Not fleeing,True,Youth,2015,10,3
shot,sword,37.0,M,H,Ontario,CA,True,other,Car,False,Adult,2015,10,3
shot,gun,64.0,M,B,Cleveland,OH,False,attack,Not fleeing,True,Senior Citizen,2015,10,3
shot,gun,31.0,M,W,Memphis,TN,True,attack,Not fleeing,False,Youth,2015,11,3
shot,gun,39.0,M,H,Santa Ana,CA,False,attack,Not fleeing,False,Adult,2015,11,3
shot,toy weapon,31.0,M,W,Kingman,AZ,True,attack,Not fleeing,False,Youth,2015,11,3
shot,undetermined,25.0,M,H,Los Angeles,CA,False,other,Not fleeing,False,Youth,2015,11,3
shot,gun,54.0,M,W,Bay Minette,AL,False,attack,Not fleeing,False,Senior Citizen,2015,11,3
shot,gun,53.0,M,W,Hoover,AL,True,attack,Not fleeing,False,Senior Citizen,2015,11,3
shot,undetermined,37.0,M,B,Elkton,MD,False,other,Not fleeing,False,Adult,2015,11,3
shot,unarmed,35.0,M,B,Washington,DC,True,other,Not fleeing,False,Adult,2015,12,3
shot,gun,59.0,M,W,Kansas City,MO,False,attack,Not fleeing,False,Senior Citizen,2015,13,3
shot,knife,36.0,M,W,Fontana,CA,False,attack,Not fleeing,False,Adult,2015,13,3
shot,unarmed,32.0,M,H,Walnut Creek,CA,False,other,Foot,False,Youth,2015,13,3
shot,gun,41.0,M,H,Napa,CA,False,other,Other,False,Adult,2015,13,3
shot,gun,29.0,M,H,San Antonio,TX,True,attack,Not fleeing,False,Youth,2015,14,3
shot,knife,53.0,M,W,Follansbee,WV,False,other,Not fleeing,False,Senior Citizen,2015,14,3
shot,gun,26.0,M,W,Kenosha,WI,False,attack,Car,False,Youth,2015,14,3
shot,machete,27.0,M,W,Ruth,MS,False,other,Not fleeing,False,Youth,2015,15,3
shot,gun,28.0,M,W,St. Paul,MN,True,attack,Not fleeing,False,Youth,2015,16,3
shot,gun,52.0,M,W,Gastonia,NC,True,attack,Not fleeing,False,Senior Citizen,2015,16,3
shot,gun,20.0,M,W,Onalaska,TX,True,attack,Not fleeing,False,Teenage,2015,17,3
shot,unarmed,22.0,M,H,Sacramento,CA,False,undetermined,Car,False,Youth,2015,17,3
shot,gun,49.0,M,W,Medford,OR,True,attack,Not fleeing,False,Adult,2015,17,3
shot,gun,24.0,M,W,Dublin,NC,False,attack,Foot,False,Youth,2015,17,3
shot,undetermined,24.0,F,W,San Francisco,CA,True,other,Not fleeing,False,Youth,2015,17,3
shot,knife,47.0,M,W,Bakersfield,CA,False,other,Not fleeing,False,Adult,2015,18,3
shot,gun,49.0,F,W,Glendale,AZ,False,attack,Not fleeing,False,Adult,2015,18,3
shot,gun,64.0,M,W,Tallahassee,FL,False,attack,Not fleeing,False,Senior Citizen,2015,18,3
shot,gun,16.0,M,B,Jacksonville,FL,False,attack,Car,False,Teenage,2015,19,3
shot,unarmed,20.0,M,W,Sumas,WA,True,attack,Not fleeing,False,Teenage,2015,19,3
shot,gun,36.0,M,W,Bakersfield,CA,False,attack,Not fleeing,False,Adult,2015,19,3
shot,box cutter,39.0,M,W,Lawrence County,AL,True,other,Not fleeing,True,Adult,2015,19,3
shot,unarmed,18.0,M,B,Cleveland,OH,False,attack,Not fleeing,False,Teenage,2015,19,3
shot,gun,31.0,M,W,Middleton,ID,False,attack,Not fleeing,True,Youth,2015,19,3
shot,gun,24.0,M,N,Red Valley,AZ,False,attack,Car,False,Youth,2015,20,3
shot,machete,63.0,M,B,New Orleans,LA,True,attack,Not fleeing,False,Senior Citizen,2015,20,3
shot,gun,34.0,M,W,Coal County,OK,False,attack,Not fleeing,False,Youth,2015,20,3
shot,gun,44.0,M,W,Clarendon,NY,False,attack,Car,False,Adult,2015,21,3
shot,gun,60.0,M,W,Harmony,IN,True,attack,Not fleeing,False,Senior Citizen,2015,21,3
shot,gun,42.0,M,W,Columbus,OH,False,attack,Not fleeing,False,Adult,2015,21,3
shot,gun,21.0,M,W,Cottonwood,AZ,False,attack,Not fleeing,False,Teenage,2015,21,3
shot,knife,37.0,M,W,Vallejo,CA,True,other,Not fleeing,False,Adult,2015,22,3
shot and Tasered,knife,36.0,M,W,Portland,OR,True,other,Foot,False,Adult,2015,22,3
shot and Tasered,undetermined,21.0,M,B,Islip,NY,False,attack,Car,False,Teenage,2015,22,3
shot,gun,24.0,M,B,Santa Clara,CA,False,attack,Not fleeing,False,Youth,2015,23,3
shot,gun,38.0,M,W,Fond du Lac,WI,False,attack,Not fleeing,False,Adult,2015,24,3
shot,gun,29.0,M,B,Portsmouth,VA,True,attack,Car,False,Youth,2015,24,3
shot,gun,57.0,M,W,San Jose,CA,True,attack,Not fleeing,False,Senior Citizen,2015,24,3
shot,undetermined,23.0,M,B,Smyrna,GA,False,other,Car,True,Youth,2015,25,3
shot,gun,27.0,M,B,Johnsonville,SC,False,attack,Foot,False,Youth,2015,25,3
shot,gun,28.0,M,H,South Los Angeles,CA,False,attack,Foot,False,Youth,2015,25,3
shot and Tasered,gun,63.0,M,W,Glendale,AZ,True,other,Not fleeing,False,Senior Citizen,2015,25,3
shot,gun,53.0,F,W,Gardner,KS,False,attack,Not fleeing,False,Senior Citizen,2015,26,3
shot,knife,35.0,M,H,Wilmington,CA,True,other,Not fleeing,False,Adult,2015,26,3
shot,gun,56.0,M,W,Encinitas,CA,True,attack,Not fleeing,False,Senior Citizen,2015,27,3
shot,knife,39.0,M,B,Fort Pierce,FL,False,other,Not fleeing,False,Adult,2015,27,3
shot,toy weapon,23.0,M,H,Bakersfield,CA,False,attack,Car,False,Youth,2015,27,3
shot,gun,40.0,M,W,Webster,MA,False,attack,Foot,False,Adult,2015,27,3
shot,knife,26.0,F,B,Oxnard,CA,False,other,Not fleeing,False,Youth,2015,27,3
shot,gun,42.0,M,W,Fort Ashby,WV,False,attack,Car,False,Adult,2015,27,3
shot,gun,41.0,M,B,Boston,MA,False,attack,Not fleeing,False,Adult,2015,27,3
shot,undetermined,26.0,M,W,Jasper,OH,False,attack,Car,False,Youth,2015,29,3
shot,gun,29.0,M,B,Elizabethtown,KY,False,attack,Not fleeing,False,Youth,2015,29,3
shot,gun,49.0,M,W,Eugene,OR,True,attack,Not fleeing,False,Adult,2015,30,3
shot,gun,54.0,M,W,Boulder City,NV,False,attack,Not fleeing,False,Senior Citizen,2015,30,3
shot,gun,36.0,M,W,Carollwood,FL,False,attack,Not fleeing,False,Adult,2015,31,3
shot,toy weapon,21.0,M,H,Baytown,TX,False,attack,Not fleeing,False,Teenage,2015,31,3
shot,undetermined,27.0,F,B,Fort Meade,MD,False,other,Car,False,Youth,2015,31,3
shot,gun,37.0,M,B,Hawthorne,CA,False,attack,Not fleeing,False,Adult,2015,1,4
shot,knife,36.0,M,W,Hamilton,NJ,False,attack,Not fleeing,False,Adult,2015,1,4
shot,gun,32.0,M,B,Rock Island,IL,False,attack,Foot,False,Youth,2015,2,4
shot and Tasered,gun,63.0,M,W,Metropolis,IL,True,attack,Not fleeing,False,Senior Citizen,2015,2,4
shot,unarmed,44.0,M,B,Tulsa,OK,False,other,Not fleeing,False,Adult,2015,2,4
shot,gun,27.0,M,W,Pineville,LA,True,attack,Not fleeing,False,Youth,2015,2,4
shot,knife,38.0,M,W,Winchester,VA,False,other,Not fleeing,True,Adult,2015,3,4
shot,gun,17.0,M,B,Zion,IL,False,attack,Foot,False,Teenage,2015,4,4
shot and Tasered,unarmed,50.0,M,B,North Charleston,SC,False,other,Foot,False,Adult,2015,4,4
shot,gun,31.0,M,B,Orange,CA,False,attack,Not fleeing,True,Youth,2015,4,4
shot,gun,34.0,M,W,Edgewood,NM,True,attack,Car,False,Youth,2015,4,4
shot,knife,51.0,M,W,Phoenix,AZ,True,other,Not fleeing,False,Senior Citizen,2015,5,4
shot,gun,56.0,M,W,Tehachapi,CA,False,attack,Not fleeing,False,Senior Citizen,2015,5,4
shot,gun,23.0,M,W,Indianapolis,IN,True,attack,Not fleeing,False,Youth,2015,6,4
shot,gun,25.0,M,B,Harvey,LA,False,attack,Foot,False,Youth,2015,6,4
shot,gun,31.0,M,W,Jefferson County,ID,False,attack,Car,False,Youth,2015,6,4
shot,gun,32.0,M,W,Pottawatomie County,OK,False,attack,Car,False,Youth,2015,7,4
shot,gun,60.0,M,W,San Antonio,TX,False,attack,Car,False,Senior Citizen,2015,8,4
shot,undetermined,42.0,M,B,Valdosta,GA,False,attack,Car,False,Adult,2015,8,4
shot,gun,39.0,M,H,Los Angeles,CA,False,attack,Foot,False,Adult,2015,8,4
shot,knife,28.0,M,A,Sunnyvale,CA,True,other,Not fleeing,False,Youth,2015,8,4
shot and Tasered,undetermined,54.0,M,W,Kellyville,OK,False,attack,Other,False,Senior Citizen,2015,9,4
shot,sword,22.0,M,W,Navarre,FL,False,attack,Not fleeing,False,Youth,2015,9,4
shot,gun,29.0,M,B,Monon,IN,False,attack,Car,False,Youth,2015,9,4
shot,gun,31.0,M,W,Straban Township,PA,True,attack,Not fleeing,False,Youth,2015,9,4
shot,gun,28.0,M,W,Boiling Springs,SC,False,attack,Not fleeing,False,Youth,2015,9,4
shot,knife,21.0,M,H,Corning,CA,False,attack,Not fleeing,False,Teenage,2015,10,4
shot,gun,38.0,M,W,Topeka,KS,False,attack,Car,False,Adult,2015,10,4
shot,gun,66.0,M,W,Sand Springs,OK,True,attack,Not fleeing,True,Senior Citizen,2015,11,4
shot,gun,36.0,M,B,Indianapolis,IN,False,attack,Foot,True,Adult,2015,12,4
shot,machete,72.0,M,W,Oklahoma City,OK,True,other,Not fleeing,False,Senior Citizen,2015,12,4
shot,gun,32.0,M,W,Salemburg,NC,True,attack,Car,False,Youth,2015,12,4
shot,gun,27.0,M,H,Alton,IL,False,attack,Not fleeing,False,Youth,2015,13,4
shot,undetermined,26.0,M,B,DeSoto,TX,False,undetermined,Foot,False,Youth,2015,14,4
shot,machete,31.0,M,W,Jonesboro,AR,True,attack,Not fleeing,False,Youth,2015,14,4
shot,gun,22.0,M,B,Miami,FL,False,undetermined,Foot,False,Youth,2015,15,4
shot,knife,41.0,M,B,Spartanburg,SC,False,attack,Not fleeing,False,Adult,2015,15,4
shot,unarmed,41.0,M,B,Houston,TX,False,other,Car,False,Adult,2015,15,4
shot,toy weapon,51.0,M,W,Columbia,MO,False,attack,Car,True,Senior Citizen,2015,15,4
shot,gun,72.0,M,W,Cañon City,CO,True,attack,Not fleeing,False,Senior Citizen,2015,15,4
shot,toy weapon,52.0,M,H,Montclair,CA,True,attack,Not fleeing,False,Senior Citizen,2015,15,4
shot,knife,47.0,M,H,Shafter,CA,False,other,Not fleeing,False,Adult,2015,16,4
